"ID","ItemType","Name","Value","Weight","Model","Inventory","Script"
"key_arvs-drelen_cell","Misc","Arvs-Drelen Cell Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Aryon_chest","Misc","Key to Aryon chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ashalmawia_prisoncell","Misc","Ancient daedric Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_Ashirbadon","Misc","Old Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Ashmelech","Misc","Key to Asmelech ","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_Ashmelech_chest","Misc","Key to Asmelech chest","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_ashurninibi","Misc","Ancient daedric Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_ashurninibi_lost","Misc","Ancient, rusted Daedric Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_assarnud","Misc","Simple Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_assarnudslaves_01","Misc","Assarnud Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_assemanu_01","Misc","Rusty Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_assemanu_02","Misc","Old Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_assi","Misc","Assi's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_assi_serimilk","Misc","Rusty Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_aurane1","Misc","Aurane Frernis' Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_balmorag_tong_01","Misc","Basement Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_balmorag_tong_02","Misc","Storage Room Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Baram_tomb","Misc","Key to Baram tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_berandas","Misc","Stolen Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_bivaleteneran_01","Misc","Bivale Teneran's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_bolayn","Misc","Bolayne's chest key","0","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Bols","Misc","Standard Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_brallion","Misc","Brallion's Key","100","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Brinne_chest","Misc","Key to Lord Brinne's chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Bthanchend_chest","Misc","Key to Bthanchend chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Bthuand","Misc","Key to Bthuand","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_cabin","Misc","Cabin Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_caius_cosades","Misc","Caius Cosades' Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_calderaslaves_01","Misc","Caldera Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_camp","Misc","Iron Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_caryarel","Misc","Caryarel's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_cell_buckmoth_01","Misc","Buckmoth Prison Cell Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_cell_ebonheart_01","Misc","Hawkmoth Prison Cell Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_chest_aryniorethi_01","Misc","Aryni Orethi's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_chest_avonravel_01","Misc","Hlormaren - Avon Ravel's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_chest_brilnosullarys_01","Misc","Hlormaren Wizard's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_chest_coduscallonus_01","Misc","Codus Callonus' Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_chest_drinarvaryon_01","Misc","Drinar Varyon's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ciennesintieve_01","Misc","Cienne Sintieve's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Dareleth_tomb","Misc","Key Dareleth tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_dawnvault","Misc","Tower of Dawn Vault Key","300","0.00","m\Key_Temple_01.nif","m\Tx_key_temple_01.tga",""
"key_desele","Misc","Bedroom Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth00","Misc","Divayth's 637th Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth01","Misc","Divayth's 678th Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth02","Misc","Divayth's 738th Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth03","Misc","Divayth's 802nd Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth04","Misc","Divayth's 897th Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth05","Misc","Divayth's 1008th Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth06","Misc","Divayth's 1092nd Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth07","Misc","Divayth's 1155th Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_divayth_fyr","Misc","Divayth Fyr's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_door_Mudan00","Misc","Key to Mudan Dwemer Vault","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"Key_Dralas_chest","Misc","Key to Dralas chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"Key_Dralas_tomb","Misc","Key to Dralas tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_dralor","Misc","Guldrise Dralor's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_draramu","Misc","Standard Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_drarayne_thelas","Misc","Storage Key","300","0.00","m\Key_Standard_01.nif","m\Tx_key_standard_01.tga",""
"key_Dreloth_tomb","Misc","Key to Dreloth tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_dren_manor","Misc","Dren's Manor Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_dren_storage","Misc","Dren's Storage Sack Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_drenplantationslaves_01","Misc","Dren Plantation Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_dreynos","Misc","Dreynos Elvul's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Dubdilla","Misc","Old Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_dulnea_ralaal","Misc","Storeroom Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_dumbuk_strongbox","Misc","Dumbuk's Strongbox Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Dura_gra-Bol","Misc","Dura gra-Bol's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_durgok","Misc","Durgok's key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_duskvault","Misc","Tower of Dusk Vault Key","300","0.00","m\Key_Temple_01.nif","m\Tx_key_temple_01.tga",""
"key_dwe_satchel00","Misc","Rusty Dwemer Key","0","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ebon_tomb","Misc","Shrine Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_eldafire","Misc","Small Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_eldrar","Misc","Simple Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_elmussadamori","Misc","Abebaal Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_erich","Misc","Erich the Unworthy's Key","5","1.00","m\Key_Standard_01.nif","m\Tx_key_standard_01.tga",""
"key_Fadathram_tomb","Misc","Key to Fadathram tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_falaanamo","Misc","Old Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_falas tomb keepers","Misc","Preserved Ancient Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_falas tomb keepers_2","Misc","Tomb Door Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Falas_chest","Misc","Key to Falas Tomb chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Falas_tomb","Misc","Key to Falas tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_fals","Misc","Dagoth Fals's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_farusea_salas","Misc","Worn Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Favel_chest","Misc","Key to Favel Tomb chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_fedar","Misc","Worn Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_fetid_dreugh_grotto","Misc","Preserved Ancient Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_fg_nchur","Misc","Ancient Dwemer Door Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Forge of Rolamus","Misc","Ancient daedric Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_FQT","Misc","Worn Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_galmis","Misc","Dagoth Galmis's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Galom_Daeus","Misc","Key to Galom Daeus","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"Key_Gatekeeper","Misc","Gatekeeper's Key","1","1.00","m\Key_Standard_01.nif","m\Tx_key_standard_01.tga",""
"key_GatewayInnslaves_01","Misc","Gateway Inn Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_gen_tomb","Misc","Tomb Door Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Gimothran","Misc","Key to Gimothran master burial","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"Key_Gimothran_chest","Misc","Key to Gimothran chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Gimothran_tomb","Misc","Key to Gimothran tomb","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_gindrala","Misc","Standard Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_gnisis_eggmine","Misc","Gnisis Eggmine Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_gro-bagrat","Misc","Basement Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_gshipwreck","Misc","A Simple Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_gustav_chest","Misc","Key to Gustav's chest","300","0.00","m\Key_Standard_01.nif","m\Tx_key_standard_01.tga",""
"key_gyldenhul","Misc","Key to Gyldenhul","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_habinbaesslaves_01","Misc","Habinbaes Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_hanarai_assutlanipal","Misc","Small Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_hasphat_antabolis","Misc","Hasphat Antabolis' Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_hasphat_antabolis2","Misc","Small Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Helas_tomb","Misc","Key to Helas tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_helvi","Misc","Helvi's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Heran","Misc","Key to Heran tomb door","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_hinnabi","Misc","Simple Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_hinnabislaves_01","Misc","Hinnabi Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_hircine1","Misc","A Glowing Key","300","0.00","m\Key_Daedric_01.NIF","m\Tx_key_daedric.dds","hircinekeyScript"
"key_hircine2","Misc","A Glowing Key","300","0.00","m\Key_Daedric_01.NIF","m\Tx_key_daedric.dds","hircinekey2Script"
"key_hircine3","Misc","A Glowing Key","300","0.00","m\Key_Daedric_01.NIF","m\Tx_key_daedric.dds","hircinekey2Script"
"key_hlaalo_manor","Misc","Hlaalo Manor Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_hlormarenslaves_01","Misc","Hlormaren Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_hodlismod","Misc","Simple Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_huleen's_hut","Misc","Key to Huleen's Hut","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_hvaults1","Misc","Hlaalu Vaults Outer Key","300","0.00","m\Key_Temple_01.nif","m\Tx_key_temple_01.tga",""
"key_hvaults2","Misc","Hlaalu Vaults Inner Key","300","0.00","m\Key_Temple_01.nif","m\Tx_key_temple_01.tga",""
"key_Ibardad","Misc","Plain key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ibardad_tomb","Misc","Ancient, rusted Daedric Key","300","0.00","m\Key_Temple_01.NIF","m\Tx_key_temple_01.tga",""
"key_ienasa","Misc","Ienasa Radas's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Ienith_chest","Misc","Key to Ienith chest","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Ienith_tomb","Misc","Key to Ienith tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_impcomsecrdoor","Misc","Worn Imperial Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Indalen","Misc","Indalen's Key","0","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Indalen_tomb","Misc","Key to Indalen tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Indaren","Misc","Rusty key into Indaren Tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_irgola","Misc","Simple Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_itar","Misc","Itar's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ivrosa","Misc","Ivrosa Verethi's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_j'zhirr","Misc","J'zhirr's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_jeanne","Misc","Jeanne's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_kagouti_colony","Misc","Rusty Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_keelraniur","Misc","Small Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_kind","Misc","Kind's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_kogoruhn_sewer","Misc","Lower Kogoruhn Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_kudanatslaves_01","Misc","Kudanat Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Lassnr_well","Misc","Lassnr's Well Key","300","0.00","m\Key_Standard_01.nif","m\Tx_key_standard_01.tga",""
"key_Lleran_tomb","Misc","Key to Lleran tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Llervu","Misc","Key to Llervu tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_llethervari_01","Misc","Llether Vari's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Llethri","Misc","Llaro Llethri's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_llethrimanor_01","Misc","Llethri Manor Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_madach_room","Misc","Madach Room Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_malpenixblonia_01","Misc","Malpenix Blonia's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_Maren_tomb","Misc","Key to Maren tomb","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_marvani_tomb","Misc","An old, ashy key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_maryn","Misc","Maren House Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_mebastien","Misc","Mebastien's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_menta_na","Misc","Menta Na's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_mette","Misc","Mette's Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_miles","Misc","Shiny Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_minabi","Misc","Simple Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_minabislaves_01","Misc","Minabi Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ministry_cells","Misc","Ministry of Truth Cell Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ministry_ext","Misc","Ministry of Truth Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_ministry_sectors","Misc","Ministry of Truth Sector Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_miun_gei","Misc","Shiny Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
"key_molagmarslaves_01","Misc","Molag Mar Slave Key","300","0.00","m\Key_Standard_01.NIF","m\Tx_key_standard_01.tga",""
