"ID","ItemType","Model"
"ex_cave_stoneyb00","Static","x\ex_cave_stoneyb00.nif"
"ex_cavern_padlock00","Static","x\ex_cavern_padlock00.nif"
"ex_ci_doorjam_01","Static","x\Ex_CI_doorjam_01.NIF"
"ex_coiled_rope","Static","x\ex_coiled_rope.nif"
"ex_com_dframe_lthus","Static","x\Ex_com_dframe_lthus.NIF"
"ex_common_awning_wood_01","Static","x\Ex_common_awning_wood_01.NIF"
"ex_common_balcony_01","Static","x\Ex_common_balcony_01.NIF"
"ex_common_building_01","Static","x\Ex_common_building_01.nif"
"ex_common_building_02","Static","x\Ex_common_building_02.NIF"
"ex_common_building_03","Static","x\Ex_common_building_03.NIF"
"ex_common_chimney_tall","Static","x\Ex_common_chimney_tall.NIF"
"ex_common_dormer_round","Static","x\Ex_common_dormer_round.NIF"
"ex_common_dormer_square","Static","x\Ex_common_dormer_square.NIF"
"ex_common_entrance_01","Static","x\Ex_common_entrance_01.nif"
"ex_common_entrance_02","Static","x\Ex_common_entrance_02.NIF"
"ex_common_house_addon","Static","x\Ex_common_house_addon.NIF"
"ex_common_house_tall_01","Static","x\Ex_common_house_tall_01.NIF"
"ex_common_house_tall_02","Static","x\Ex_common_house_tall_02.NIF"
"ex_common_lighthouse","Static","x\Ex_common_lighthouse.NIF"
"ex_common_plat_cent","Static","x\Ex_common_plat_Cent.NIF"
"ex_common_plat_corn","Static","x\Ex_common_plat_corn.NIF"
"ex_common_plat_end","Static","x\Ex_common_plat_end.NIF"
"Ex_common_plat_LRG","Static","x\Ex_common_plat_LRG.NIF"
"ex_common_plat_rail","Static","x\Ex_common_plat_rail.NIF"
"ex_common_skywalk_01","Static","x\Ex_common_skywalk_01.NIF"
"ex_common_tavern_01","Static","x\Ex_common_tavern_01.NIF"
"ex_common_tower_thatch","Static","x\Ex_common_tower_thatch.NIF"
"ex_common_trellis","Static","x\Ex_common_trellis.NIF"
"ex_common_window_01","Static","x\Ex_common_window_01.NIF"
"ex_common_window_02","Static","x\Ex_common_window_02.NIF"
"ex_common_window_03","Static","x\Ex_common_window_03.NIF"
"ex_dae_azura","Static","x\Ex_DAE_Azura.NIF"
"Ex_DAE_B_Bo_Axe","Static","x\Ex_DAE_B_Bo_Axe.NIF"
"Ex_DAE_B_Bo_BSkirt1","Static","x\Ex_DAE_B_Bo_BSkirt1.NIF"
"Ex_DAE_B_Bo_BSkirt2","Static","x\Ex_DAE_B_Bo_BSkirt2.NIF"
"Ex_DAE_B_Bo_cape1","Static","x\Ex_DAE_B_Bo_cape1.NIF"
"Ex_DAE_B_Bo_cape2","Static","x\Ex_DAE_B_Bo_cape2.NIF"
"Ex_DAE_B_Bo_FrontSkirt","Static","x\Ex_DAE_B_Bo_FrontSkirt.NIF"
"Ex_DAE_B_Bo_Head","Static","x\Ex_DAE_B_Bo_Head.NIF"
"Ex_DAE_B_Bo_LBody","Static","x\Ex_DAE_B_Bo_LBody.NIF"
"Ex_DAE_B_Bo_SLPiece","Static","x\Ex_DAE_B_Bo_SLPiece.NIF"
"Ex_DAE_B_Bo_UBody","Static","x\Ex_DAE_B_Bo_UBody.NIF"
"Ex_DAE_Boethiah","Static","x\Ex_DAE_Boethiah.NIF"
"ex_dae_buttress_ruin_01","Static","x\Ex_DAE_buttress_ruin_01.NIF"
"ex_dae_claw_01","Static","x\Ex_DAE_claw_01.nif"
"ex_dae_claw_02","Static","x\Ex_DAE_claw_02.NIF"
"Ex_DAE_door_static_oval","Static","d\Ex_DAE_door_load_oval.NIF"
"ex_dae_malacath_attack","Static","x\Ex_Dae_Malacath_attack.NIF"
"ex_dae_mehrunesdagon","Static","x\Ex_DAE_MehrunesDagon.NIF"
"ex_dae_molagbal","Static","x\Ex_Dae_MolagBal.NIF"
"ex_dae_pillar_01","Static","x\Ex_DAE_pillar_01.nif"
"ex_dae_pillar_02","Static","x\Ex_DAE_pillar_02.NIF"
"ex_dae_pillar_02_ruin","Static","x\Ex_DAE_pillar_02_ruin.NIF"
"ex_dae_pillar_02_ruin_02","Static","x\Ex_DAE_pillar_02_ruin_02.NIF"
"ex_dae_pillar_03","Static","x\Ex_DAE_pillar_03.NIF"
"ex_dae_ruin_01","Static","x\Ex_DAE_ruin_01.nif"
"ex_dae_ruin_02","Static","x\Ex_DAE_ruin_02.nif"
"ex_dae_ruin_02_skew","Static","x\Ex_DAE_ruin_02_skew.nif"
"ex_dae_ruin_03","Static","x\Ex_DAE_ruin_03.nif"
"ex_dae_ruin_04","Static","x\Ex_DAE_ruin_04.nif"
"ex_dae_ruin_04_skew_01","Static","x\Ex_DAE_ruin_04_skew_01.nif"
"ex_dae_ruin_04_skew_02","Static","x\Ex_DAE_ruin_04_skew_02.nif"
"ex_dae_ruin_entry.max","Static","x\Ex_DAE_ruin_entry.max.NIF"
"ex_dae_ruin_platform_01","Static","x\Ex_DAE_ruin_platform_01.NIF"
"ex_dae_ruin_stair01_short","Static","x\Ex_DAE_ruin_stair01_short.nif"
"ex_dae_sheogorath","Static","x\Ex_DAE_Sheogorath.NIF"
"Ex_DAE_wall_256_04","Static","x\Ex_DAE_wall_256_04.NIF"
"ex_dae_wall_512_01","Static","x\Ex_DAE_wall_512_01.nif"
"ex_dae_wall_512_02","Static","x\Ex_DAE_wall_512_02.nif"
"ex_dae_wall_512_03","Static","x\Ex_DAE_wall_512_03.nif"
"ex_dae_wall_512_04","Static","x\Ex_DAE_wall_512_04.nif"
"ex_dae_wall_512_05","Static","x\Ex_DAE_wall_512_05.nif"
"ex_dae_wall_512_06","Static","x\Ex_DAE_wall_512_06.nif"
"ex_dae_wall_512_07","Static","x\Ex_DAE_wall_512_07.nif"
"ex_dae_wall_512_08","Static","x\Ex_DAE_wall_512_08.nif"
"ex_dae_wall_512_09","Static","x\Ex_DAE_wall_512_09.nif"
"ex_daed_pillar_claw_01","Static","x\Ex_Daed_pillar_claw_01.nif"
"ex_de_cave_entrance_01","Static","x\Ex_de_cave_entrance_01.NIF"
"ex_de_docks_128","Static","x\Ex_De_Docks_128.NIF"
"ex_de_docks_3way","Static","x\Ex_De_Docks_3way.NIF"
"ex_de_docks_3wayb","Static","x\Ex_De_Docks_3wayB.NIF"
"ex_de_docks_3ways","Static","x\Ex_De_Docks_3wayS.NIF"
"ex_de_docks_3waysb","Static","x\Ex_De_Docks_3waySB.NIF"
"ex_de_docks_4way","Static","x\Ex_De_Docks_4way.NIF"
"ex_de_docks_4wayb","Static","x\Ex_De_Docks_4wayB.NIF"
"ex_de_docks_center","Static","x\Ex_De_Docks_Center.NIF"
"ex_de_docks_centerb","Static","x\Ex_De_Docks_CenterB.NIF"
"ex_de_docks_centers","Static","x\Ex_De_Docks_CenterS.NIF"
"ex_de_docks_centersb","Static","x\Ex_De_Docks_CenterSB.NIF"
"ex_de_docks_cleat","Static","x\Ex_De_Docks_Cleat.NIF"
"ex_de_docks_corner_01","Static","x\Ex_De_Docks_Corner_01.NIF"
"ex_de_docks_corner_02","Static","x\Ex_De_Docks_Corner_02.NIF"
"ex_de_docks_cornerb_01","Static","x\Ex_De_Docks_CornerB_01.NIF"
"ex_de_docks_cornerb_02","Static","x\Ex_De_Docks_CornerB_02.NIF"
"ex_de_docks_corners_01","Static","x\Ex_De_Docks_CornerS_01.NIF"
"ex_de_docks_corners_02","Static","x\Ex_De_Docks_CornerS_02.NIF"
"ex_de_docks_cornersb_01","Static","x\Ex_De_Docks_CornerSB_01.NIF"
"ex_de_docks_cornersb_02","Static","x\Ex_De_Docks_CornerSB_02.NIF"
"ex_de_docks_end","Static","x\Ex_De_Docks_End.NIF"
"ex_de_docks_endc","Static","x\Ex_De_Docks_EndC.NIF"
"ex_de_docks_ends","Static","x\Ex_De_Docks_EndS.NIF"
"Ex_De_Docks_Gate","Static","x\Ex_De_Docks_Gate.NIF"
"ex_de_docks_piling","Static","x\Ex_De_Docks_Piling.NIF"
"Ex_De_Docks_Piling_01","Static","x\Ex_De_Docks_Piling_01.NIF"
"ex_de_docks_pilingb","Static","x\Ex_De_Docks_PilingB.NIF"
"ex_de_docks_pilings","Static","x\Ex_De_Docks_Pilings.NIF"
"ex_de_docks_steps","Static","x\Ex_De_Docks_Steps.NIF"
"ex_de_docks_steps_01","Static","x\Ex_De_Docks_Steps_01.NIF"
"ex_de_oar","Static","x\Ex_De_Oar.NIF"
"ex_de_railing_01","Static","x\Ex_De_Railing_01.NIF"
"ex_de_railing_02","Static","x\Ex_De_Railing_02.NIF"
"ex_de_railing_03","Static","x\Ex_De_Railing_03.NIF"
"Ex_De_Railing_04","Static","x\Ex_De_Railing_04.NIF"
"Ex_De_Railing_05","Static","x\Ex_De_Railing_05.NIF"
"Ex_De_Railing_06","Static","x\Ex_De_Railing_06.NIF"
"ex_de_rowboat","Static","x\Ex_De_Rowboat.NIF"
"Ex_de_scaffold_01a","Static","x\Ex_de_scaffold_01.NIF"
"Ex_de_scaffold_02a","Static","x\Ex_de_scaffold_02.NIF"
"Ex_de_scaffold_03a","Static","x\Ex_de_scaffold_03.NIF"
"ex_de_shack_01","Static","x\Ex_De_Shack_01.NIF"
"ex_de_shack_02","Static","x\Ex_De_Shack_02.NIF"
"ex_de_shack_03","Static","x\Ex_De_Shack_03.NIF"
"ex_de_shack_04","Static","x\Ex_De_Shack_04.NIF"
"ex_de_shack_05","Static","x\Ex_De_Shack_05.NIF"
"ex_de_shack_awning_01","Static","x\Ex_De_Shack_Awning_01.NIF"
"ex_de_shack_awning_02","Static","x\Ex_De_Shack_Awning_02.NIF"
"ex_de_shack_awning_03","Static","x\Ex_De_Shack_Awning_03.NIF"
"ex_de_shack_awning_04","Static","x\Ex_De_Shack_Awning_04.NIF"
"ex_de_shack_awning_05","Static","x\Ex_De_Shack_Awning_05.NIF"
"ex_de_shack_awning_06","Static","x\Ex_De_Shack_Awning_06.NIF"
"ex_de_shack_plank_01","Static","x\Ex_De_Shack_Plank_01.NIF"
"ex_de_shack_plank_02","Static","x\Ex_De_Shack_Plank_02.NIF"
"Ex_De_Shack_Plank_03","Static","x\Ex_De_Shack_Plank_03.NIF"
"Ex_De_Shack_Plank_04","Static","x\Ex_De_Shack_Plank_04.NIF"
"ex_de_shack_steps","Static","x\Ex_De_Shack_Steps.NIF"
"Ex_De_Shack_Steps_01","Static","x\Ex_De_Shack_Steps_01.NIF"
"Ex_DE_ship","Static","x\ex_de_ship.nif"
"ex_de_ship_oarleft","Static","x\Ex_DE_ship_oarleft.NIF"
"ex_de_ship_oarright","Static","x\Ex_DE_ship_OARright.NIF"
"ex_de_shipwreck","Static","x\Ex_DE_shipWreck.NIF"
"Ex_De_Thirsk_Plank","Static","x\Ex_De_Shack_Plank_03.NIF"
"Ex_De_Thirsk_Plank_b","Static","x\Ex_De_Shack_Plank_03.NIF"
"ex_drystonewall_c_01","Static","x\Ex_drystonewall_c_01.NIF"
"ex_drystonewall_d_01","Static","x\Ex_drystonewall_d_01.NIF"
"ex_drystonewall_end_01","Static","x\Ex_drystonewall_end_01.NIF"
"ex_drystonewall_s_01","Static","x\Ex_drystonewall_s_01.NIF"
"ex_dwrv_alcove00","Static","x\ex_dwrv_alcove00.nif"
"ex_dwrv_alcove10","Static","x\ex_dwrv_alcove10.nif"
"ex_dwrv_block00","Static","x\ex_dwrv_block00.nif"
"ex_dwrv_block10","Static","x\ex_dwrv_block10.nif"
"ex_dwrv_block20","Static","x\ex_dwrv_block20.nif"
"ex_dwrv_block30","Static","x\ex_dwrv_block30.nif"
"ex_dwrv_boulder00","Static","x\ex_dwrv_boulder00.nif"
"ex_dwrv_boulder10","Static","x\ex_dwrv_boulder10.nif"
"ex_dwrv_boulder20","Static","x\ex_dwrv_boulder20.nif"
"ex_dwrv_bridge00","Static","x\ex_dwrv_bridge00.nif"
"ex_dwrv_bridge10","Static","x\ex_dwrv_bridge10.nif"
"ex_dwrv_cosmo00","Static","x\ex_dwrv_cosmo00.nif"
"ex_dwrv_enter00","Static","x\ex_dwrv_enter00.nif"
"ex_dwrv_header00","Static","x\ex_dwrv_header00.nif"
"ex_dwrv_observ00","Static","x\ex_dwrv_observ00.nif"
"ex_dwrv_pipe00","Static","x\ex_dwrv_pipe00.nif"
"ex_dwrv_pipe10","Static","x\ex_dwrv_pipe10.nif"
"ex_dwrv_pipefitting00","Static","x\ex_dwrv_pipefitting00.nif"
"ex_dwrv_ruin00","Static","x\ex_dwrv_ruin00.nif"
"ex_dwrv_ruin10","Static","x\ex_dwrv_ruin10.nif"
"ex_dwrv_ruin20","Static","x\ex_dwrv_ruin20.nif"
"ex_dwrv_ruin30","Static","x\ex_dwrv_ruin30.nif"
"ex_dwrv_ruin40","Static","x\ex_dwrv_ruin40.nif"
"ex_dwrv_ruin50","Static","x\ex_dwrv_ruin50.nif"
"ex_dwrv_ruin60","Static","x\ex_dwrv_ruin60.nif"
"ex_dwrv_ruin70","Static","x\Ex_dwrv_ruin70.NIF"
"ex_dwrv_ruin80","Static","x\Ex_dwrv_ruin80.NIF"
"ex_dwrv_ruin_tower00","Static","x\ex_dwrv_ruin_tower00.NIF"
"ex_dwrv_statue00","Static","x\ex_dwrv_statue00.NIF"
"ex_dwrv_steamstack00","Static","x\ex_dwrv_steamstack00.nif"
"ex_dwrv_walker00","Static","x\ex_dwrv_walker00.nif"
"ex_dwrv_walker10","Static","x\ex_dwrv_walker10.nif"
"ex_dwrv_walker20","Static","x\ex_dwrv_walker20.nif"
"ex_dwrv_wall00","Static","x\ex_dwrv_wall00.nif"
"ex_dwrv_wall10","Static","x\ex_dwrv_wall10.nif"
"ex_dwrv_wall20","Static","x\ex_dwrv_wall20.nif"
"ex_dwrv_wall30","Static","x\ex_dwrv_wall30.nif"
"ex_dwrv_wall40","Static","x\ex_dwrv_wall40.nif"
"ex_dwrv_wall50","Static","x\ex_dwrv_wall50.nif"
"ex_dwrv_wall60","Static","x\ex_dwrv_wall60.NIF"
"ex_emp_tower_01","Static","x\Ex_emp_tower_01.NIF"
"ex_gg_01","Static","x\Ex_GG_01.NIF"
"ex_gg_02","Static","x\Ex_GG_02.NIF"
"ex_gg_03","Static","x\Ex_GG_03.NIF"
