"ID","ItemType","Name","Script","Level","Race","Female","Class","Faction","Rank","Autocalc","Respawn","Animation","Disposition","Blood","Hair","Head","Persist","Blocked","Strength","Agility","Speed","Endurance","Personality","Intelligence","Willpower","Luck","Gold","Health","SpellPts","Magic"
"aengoth","NPC","Aengoth the Jeweler","nolore","16","Wood Elf","No","Scout","Thieves Guild","8","Yes","No","","50","Default (Red)","b_n_wood elf_m_hair_04","b_n_wood elf_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"aerin","NPC","Aerin","","27","Wood Elf","Yes","Thief","","0","No","No","","50","Default (Red)","b_n_wood elf_f_hair_03","b_n_wood elf_f_head_04","No","Yes","77","100","100","46","71","82","51","40","0","165","274","164"
"aeta wave-breaker","NPC","Aeta Wave-Breaker","nolore","4","Nord","Yes","Commoner","","0","Yes","No","","50","Default (Red)","b_n_nord_f_hair_01","b_n_nord_f_head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Afer Flaccus","NPC","Afer Flaccus","nolore","40","Imperial","No","Commoner","East Empire Company","0","Yes","No","","50","Default (Red)","B_N_Imperial_M_Hair_08","B_N_Imperial_M_Head_07","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Afer Flaccus_guard","NPC","Afer Flaccus","nolore","40","Imperial","No","Guard","East Empire Company","2","Yes","No","","50","Default (Red)","B_N_Imperial_M_Hair_08","B_N_Imperial_M_Head_07","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"affri","NPC","Affri","slaveScript","2","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair02","b_n_khajiit_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"agarond","NPC","Agarond","","17","Wood Elf","No","Battlemage","","0","Yes","No","","50","Default (Red)","b_n_wood elf_m_hair_03","b_n_wood elf_m_head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"aglaril","NPC","Aglaril","","4","Wood Elf","Yes","Archer","Telvanni","0","Yes","No","","50","Default (Red)","b_n_wood elf_f_hair_03","b_n_wood elf_f_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Agning","NPC","Agning","Pub_Ebon_Six","10","Nord","No","Publican","","0","No","No","","50","Default (Red)","b_n_nord_m_hair02","b_n_nord_m_head_02","No","Yes","62","54","50","61","60","54","47","40","150","97","224","108"
"agrippina herennia","NPC","Agrippina Herennia","nolore","9","Imperial","Yes","Clothier","","0","Yes","No","","50","Default (Red)","b_n_imperial_f_hair_05","b_n_imperial_f_head_03","No","No","0","0","0","0","0","0","0","0","350","0","0","0"
"agrob gra-bogharz","NPC","Agrob gra-Bogharz","","9","Orc","Yes","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_orc_f_hair02","b_n_orc_f_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"agronian guy","NPC","Tarhiel","nolore","6","Wood Elf","No","Enchanter","","0","No","No","","50","Default (Red)","b_n_wood elf_m_hair_05","b_n_wood elf_m_head_03","No","No","69","35","32","60","55","45","60","40","0","5","224","22"
"ah-meesei","NPC","Ah-Meesei","slaveScript","1","Argonian","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_argonian_f_hair01","b_n_argonian_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ahaht","NPC","Ahaht","slaveScript","1","Argonian","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_argonian_f_hair02","b_n_argonian_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ahanabi assullinbanud","NPC","Ahanabi Assullinbanud","","7","Dark Elf","Yes","Miner","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_22","b_n_dark elf_f_head_07","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ahasour","NPC","Ahasour","UrshilakuKill","14","Dark Elf","No","Herder","Ashlanders","3","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_03","b_n_dark elf_m_head_08","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ahaz","NPC","Ahaz","WarLoverKill","12","Dark Elf","No","Champion","Ashlanders","4","No","No","","50","Default (Red)","b_n_dark elf_m_hair_15","b_n_dark elf_m_head_01","Yes","No","73","78","72","55","37","49","45","40","0","119","251","98"
"ahdahni","NPC","Ahdahni","slaveScript","2","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair05","b_n_khajiit_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ahdni","NPC","Ahdni","slaveScript","1","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair03","b_n_khajiit_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ahdri","NPC","Ahdri","slaveScript","1","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair04","b_n_khajiit_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Ahetotis Furotis","NPC","Ahetotis Furotis","","13","Imperial","Yes","Warrior","","0","Yes","No","","50","Default (Red)","b_n_imperial_f_hair_04","b_n_imperial_f_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ahjara","NPC","Ahjara","slaveScript","1","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair05","b_n_khajiit_f_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ahnarra","NPC","Ahnarra","abebaalSlaves","5","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair03","b_n_khajiit_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ahnassi","NPC","Ahnassi","ahnassiScript","9","Khajiit","Yes","Monk Service","Thieves Guild","0","No","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair03","b_n_khajiit_f_head_02","No","Yes","59","62","69","55","35","47","60","40","0","106","236","23"
"ahndahra","NPC","Ahndahra","slaveScript","1","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair01","b_n_khajiit_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Ahnia","NPC","Ahnia","AhniaDead","30","Khajiit","Yes","Assassin","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair03","B_N_Khajiit_F_Head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ahnisa","NPC","Ahnisa","slaveScript","1","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair02","b_n_khajiit_f_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Ahzini","NPC","Ahzini","slaveScript","2","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair01","b_n_khajiit_f_head_02","No","Yes","0","0","0","0","0","0","0","0","0","0","0","0"
"aina","NPC","Aina","slaveScript","1","Khajiit","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair04","b_n_khajiit_f_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ainab","NPC","Ainab","WarLoverKill","13","Dark Elf","No","Hunter","Ashlanders","4","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_22","b_n_dark elf_m_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ainab yassabisun","NPC","Ainab Yassabisun","","9","Dark Elf","No","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_05","b_n_dark elf_m_head_06","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ainat maessabibi","NPC","Ainat Maessabibi","","8","Dark Elf","No","Scout","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_10","b_n_dark elf_m_head_04","No","Yes","53","61","73","60","34","48","38","40","0","98","212","96"
"ajira","NPC","Ajira","ajiraScript","7","Khajiit","Yes","Alchemist Service","Mages Guild","0","No","No","base_animKnA.nif","50","Default (Red)","b_n_khajiit_f_hair02","b_n_khajiit_f_head_03","No","Yes","38","57","48","44","45","69","44","50","800","67","183","138"
"akish","NPC","Akish","slaveScript","1","Argonian","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_argonian_f_hair05","b_n_argonian_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alam merys","NPC","Alam Merys","DrathasThugScript","14","Dark Elf","No","Warrior","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_10","b_n_dark elf_m_head_02","No","No","67","65","95","52","62","50","40","40","0","124","224","100"
"alanil llaram","NPC","Alanil Llaram","","5","Dark Elf","No","Miner","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_15","b_n_dark elf_m_head_06","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alarvyne indalas","NPC","Alarvyne Indalas","nolore","13","Dark Elf","Yes","Trader Service","","0","No","No","","50","Default (Red)","b_n_dark elf_f_hair_11","b_n_dark elf_f_head_10","No","Yes","66","66","67","37","66","59","49","40","100","95","218","118"
"Alavesa Samori","NPC","Alavesa Samori","","11","Dark Elf","Yes","Nightblade","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_05","b_n_dark elf_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"albecius colollius","NPC","Albecius Colollius","","6","Imperial","No","Battlemage","","0","Yes","No","","50","Default (Red)","b_n_imperial_m_hair_05","b_n_imperial_m_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Alcedonia Amnis","NPC","Alcedonia Amnis","Pub_RavenRock","40","Imperial","Yes","Publican","East Empire Company","2","No","No","","50","Default (Red)","b_n_imperial_f_hair_04","b_n_imperial_f_head_01","No","No","91","100","73","87","100","100","71","40","1000","245","349","200"
"Aldam Berendus","NPC","Aldam Berendus","ColonyAldam","20","Dark Elf","No","Commoner","East Empire Company","1","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_05","b_n_dark elf_m_head_08","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"aldaril","NPC","Aldaril","","13","High Elf","No","Battlemage Service","Imperial Legion","4","No","No","","50","Default (Red)","b_n_high elf_m_hair_05","b_n_high elf_m_head_03","No","Yes","65","53","40","57","47","86","72","40","0","97","247","172"
"aldi","NPC","Aldi","","1","Nord","Yes","Commoner","","0","Yes","No","","50","Default (Red)","b_n_nord_f_hair_03","b_n_nord_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alds baro","NPC","Alds Baro","","16","Dark Elf","No","Smith","Redoran","4","No","No","","50","Default (Red)","b_n_dark elf_m_hair_10","b_n_dark elf_m_head_09","No","Yes","98","68","86","68","39","52","42","40","1400","173","276","104"
"aldyne arenim","NPC","Aldyne Arenim","","3","Dark Elf","Yes","Pauper","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_18","b_n_dark elf_f_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alenus vendu","NPC","Alenus Vendu","","14","Dark Elf","Yes","Enchanter Service","Telvanni","3","No","No","","50","Default (Red)","b_n_dark elf_f_hair_14","b_n_dark elf_f_head_03","No","Yes","63","50","71","38","52","85","72","40","1300","89","223","170"
"Aleri Aren","NPC","Aleri Aren","nolore","40","Dark Elf","Yes","Crusader","Royal Guard","0","Yes","No","","40","Default (Red)","b_n_dark elf_f_hair_07","b_n_dark elf_f_head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"aleri duro","NPC","Aleri Duro","Vampire_Aundae","5","Dark Elf","Yes","Acrobat","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_08","B_V_Dark Elf_F_Head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"ales julalanie","NPC","Ales Julalanie","","12","Breton","Yes","Bard","","0","Yes","No","","50","Default (Red)","b_n_breton_f_hair_02","b_n_breton_f_head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Alfbrand","NPC","Alfbrand","ColonyAlfbrand","30","Nord","No","Barbarian","","0","No","No","","50","Default (Red)","b_n_nord_m_hair04","b_n_nord_m_head_05","No","No","160","94","100","91","47","53","63","40","0","240","348","106"
"Alfbrand_b","NPC","Alfbrand","ColonyNordAttack","30","Nord","No","Barbarian","","0","No","No","","50","Default (Red)","b_n_nord_m_hair04","b_n_nord_m_head_05","No","No","160","94","100","91","47","53","63","40","0","240","348","106"
"alfe fyr","NPC","Alfe Fyr","nolore","18","Dark Elf","Yes","Spellsword","","0","No","No","","50","Default (Red)","b_n_dark elf_f_hair_16","b_n_dark elf_f_head_01","No","Yes","81","67","64","55","50","64","94","40","0","161","297","128"
"alfhedil elf-hewer","NPC","Alfhedil Elf-Hewer","","25","Nord","No","Barbarian","","0","No","No","","50","Default (Red)","b_n_nord_m_hair03","b_n_nord_m_head_03","No","Yes","100","95","80","65","65","50","68","40","0","244","328","100"
"allding","NPC","Allding","","7","Nord","No","Pawnbroker","Thieves Guild","1","No","No","","50","Default (Red)","b_n_nord_m_hair03","b_n_nord_m_head_04","No","Yes","60","41","53","54","43","50","45","50","300","81","200","100"
"allian carbo","NPC","Allian Carbo","","5","Imperial","No","Warrior","Imperial Legion","1","Yes","No","","50","Default (Red)","b_n_imperial_m_hair_05","b_n_imperial_m_head_03","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"allimir","NPC","Allimir","","10","Wood Elf","No","Barbarian","","0","Yes","No","","50","Default (Red)","b_n_wood elf_m_hair_02","b_n_wood elf_m_head_02","No","Yes","0","0","0","0","0","0","0","0","0","0","0","0"
"Alms Helothren","NPC","Alms Helothren","","1","Dark Elf","No","Thief","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_24","b_n_dark elf_m_head_14","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"almse arenim","NPC","Almse Arenim","","14","Dark Elf","Yes","Agent","Hlaalu","2","No","No","","50","Default (Red)","b_n_dark elf_f_hair_15","b_n_dark elf_f_head_04","No","Yes","63","85","75","38","76","54","40","40","0","102","226","108"
"almsi oren","NPC","Almsi Oren","","11","Dark Elf","Yes","Battlemage","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_15","b_n_dark elf_f_head_07","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alnas sendu","NPC","Alnas Sendu","","8","Dark Elf","No","Rogue","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_06","b_n_dark elf_m_head_11","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Alodie Jes","NPC","Alodie Jes","","19","Breton","No","Warrior","Imperial Legion","6","Yes","No","","50","Default (Red)","b_n_breton_m_hair_03","b_n_breton_m_head_05","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alof the easterner","NPC","Alof the Easterner","","6","Nord","No","Farmer","","0","Yes","No","","50","Default (Red)","b_n_nord_m_hair00","b_n_nord_m_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"aloie indaram","NPC","Aloie Indaram","","9","Dark Elf","Yes","Archer","","0","No","No","","50","Default (Red)","b_n_dark elf_f_hair_19","b_n_dark elf_f_head_07","No","No","66","72","57","51","35","47","60","40","0","103","249","23"
"Alonisea Varys","NPC","Alonisea Varys","","6","Dark Elf","Yes","Rogue","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_01","b_n_dark elf_f_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"also_he_washes","NPC","Also-He-Washes","","1","Argonian","No","Slave","","0","No","No","base_animKnA.nif","50","Default (Red)","b_n_argonian_m_hair02","b_n_argonian_m_head_01","No","No","40","40","40","40","30","50","40","50","0","0","160","100"
"alurue saryon","NPC","Alurue Saryon","","15","Dark Elf","Yes","Witchhunter","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_14","b_n_dark elf_f_head_08","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Alusannah","NPC","Alusannah","alusannahScript","40","Redguard","Yes","Crusader","Royal Guard","0","Yes","No","","40","Default (Red)","b_n_redguard_f_hair_05","b_n_redguard_f_head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alusaron","NPC","Alusaron","nolore","16","Redguard","No","Smith","","0","Yes","No","","50","Default (Red)","b_n_redguard_m_hair_03","b_n_redguard_m_head_04","No","No","0","0","0","0","0","0","0","0","2500","0","0","0"
"Alvan Llarys","NPC","Alvan Llarys","nolore","30","Dark Elf","No","Noble","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_12","b_n_dark elf_m_head_10","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alvela saram","NPC","Alvela Saram","nolore","19","Dark Elf","Yes","Crusader","Temple","7","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_18","b_n_dark elf_f_head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alveleg","NPC","Alveleg","","3","Wood Elf","No","Scout","Thieves Guild","0","No","No","","50","Default (Red)","b_n_wood elf_m_hair_02","B_N_Wood Elf_M_Head_07","No","No","34","56","64","43","41","42","32","40","0","46","165","84"
"alven salas","NPC","Alven Salas","","7","Dark Elf","No","Monk Service","Morag Tong","2","No","No","","50","Default (Red)","b_n_dark elf_m_hair_05","b_n_dark elf_m_head_01","Yes","Yes","53","65","69","44","34","45","47","40","0","72","209","90"
"alveno andules","NPC","Alveno Andules","","10","Dark Elf","Yes","Pawnbroker","Hlaalu","2","No","No","","50","Default (Red)","b_n_dark elf_f_hair_02","b_n_dark elf_f_head_01","No","Yes","54","57","70","35","60","64","37","50","200","80","183","128"
"alvis teri","NPC","Alvis Teri","alvisTeriScript","9","Dark Elf","No","Rogue","","0","No","No","","50","Default (Red)","b_n_dark elf_m_hair_24","b_n_dark elf_m_head_01","No","No","72","58","80","54","76","52","62","40","0","144","246","26"
"Alvor Andas","NPC","Alvor Andas","","4","Dark Elf","No","Miner","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_22","b_n_dark elf_m_head_02","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Alvos Sadri","NPC","Alvos Sadri","","1","Dark Elf","No","Knight","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_21","b_n_dark elf_m_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alvring whitebeard","NPC","Alvring Whitebeard","nolore","43","Nord","No","Warrior","Skaal","0","Yes","No","","50","Default (Red)","b_n_nord_m_hair03","b_n_nord_m_head_04","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"alvur hleran","NPC","Alvur Hleran","nolore","7","Dark Elf","No","Thief","","0","Yes","No","","50","Default (Red)","b_n_dark elf_m_hair_08","b_n_dark elf_m_head_10","No","Yes","0","0","0","0","0","0","0","0","0","0","0","0"
"Alvura Othrenim","NPC","Alvura Othrenim","sleeperScript","2","Dark Elf","Yes","Commoner","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_04","b_n_dark elf_f_head_08","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Alynu Aralen","NPC","Alynu Aralen","","3","Dark Elf","Yes","Warrior","","0","Yes","No","","50","Default (Red)","b_n_dark elf_f_hair_19","b_n_dark elf_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"am-ra","NPC","Am-Ra","slaveScript","1","Argonian","Yes","Slave","","0","Yes","No","base_animKnA.nif","50","Default (Red)","b_n_argonian_f_hair05","b_n_argonian_f_head_01","No","No","0","0","0","0","0","0","0","0","0","0","0","0"
"Ama Nin_DisguiseMara","NPC","Ama Nin","nolore","1","Breton","Yes","Healer","","0","Yes","No","","50","Default (Red)","b_n_breton_f_hair_04","b_n_breton_f_head_04","No","Yes","0","0","0","0","0","0","0","0","0","0","0","0"
"amarie charien","NPC","Amarie Charien","","9","Breton","Yes","Healer Service","Imperial Legion","2","No","No","","50","Default (Red)","b_n_breton_f_hair_01","b_n_breton_f_head_04","No","Yes","40","39","55","35","64","59","86","40","150","61","200","118"
