"ID","ItemType","Name","Model","Inventory","Script"
"act_BM_beast_parts","Activator","","f\act_BM_beast_parts.NIF","",""
"act_BM_earth_parts","Activator","","f\act_BM_earth_parts.NIF","",""
"Act_BM_garden_plot_01","Activator","Patch of Fertile Soil","f\Act_BM_garden_plot_01.NIF","","plantScript"
"Act_BM_imp_plat_01","Activator","","x\Ex_imp_plat_01.NIF","","fortDisableScript"
"Act_BM_imp_plat_02","Activator","","x\Ex_imp_rubble_03.NIF","","fortEnableScript"
"Act_BM_pipe_01","Activator","Hollow Stalagmite","f\Act_BM_pipe_01.NIF","","stal1Script"
"Act_BM_pipe_02","Activator","Hollow Stalagmite","f\Act_BM_pipe_01.NIF","","stal2Script"
"Act_BM_pipe_03","Activator","Hollow Stalagmite","f\Act_BM_pipe_01.NIF","","stal3Script"
"Act_BM_pipe_04","Activator","","f\Act_BM_pipe_01.NIF","",""
"Act_BM_pipe_05","Activator","","f\Act_BM_pipe_01.NIF","","stalloopScript"
"Act_BM_pipe_06","Activator","","f\Act_BM_pipe_01.NIF","",""
"Act_BM_rubble_01","Activator","","x\Ex_imp_rubble_06.NIF","","fortEnableScript"
"Act_BM_rubble_02","Activator","","x\Ex_imp_rubble_07.NIF","","fortEnableScript"
"act_bm_snowdoor1","Activator","","f\Terrain_BM_snow_02.nif","","skaalaradoorScript"
"act_bm_snowdoor2","Activator","","f\Terrain_rock_BM_26.nif","","penumbradoorScript"
"act_bm_snowdoor3","Activator","","f\Terrain_BM_ice_02.nif","","karstcavdoorScript"
"act_bm_snowdoor4","Activator","","f\Terrain_BM_ice_02.nif","","stahldoorScript"
"act_bm_snowdoor5","Activator","","f\Terrain_BM_ice_02.nif","","fjalddoorScript"
"Act_BM_steam_01","Activator","","f\act_BM_pipe_parts00.NIF","","stalsteamScript"
"Act_BM_steam_02","Activator","","f\act_BM_pipe_parts00.NIF","","stalsteamScript"
"Act_BM_steam_03","Activator","","f\act_BM_pipe_parts00.NIF","","stalsteamScript"
"Act_BM_steam_04","Activator","","f\act_BM_pipe_parts00.NIF","","stalsteamScript"
"Act_BM_steam_05","Activator","","f\act_BM_pipe_parts00.NIF","","stalsteamScript"
"Act_BM_steam_06","Activator","","f\act_BM_pipe_parts00.NIF","","stalsteamScript"
"Act_BM_stone_beast_01","Activator","Beast Stone","f\Act_BM_stone_beast_01.NIF","","stoneBeastsScript"
"Act_BM_stone_earth_01","Activator","Earth Stone","f\Act_BM_stone_earth_01.NIF","","stoneEarthScript"
"Act_BM_stone_erlendr","Activator","Stone of Erlendr","f\Terrain_rock_BM_79.nif","","stoneErlendrScript"
"Act_BM_stone_hunroor","Activator","Stone of Hunroor","f\Terrain_rock_BM_74.nif","","stoneHunroorScript"
"Act_BM_stone_nikulas","Activator","Stone of Nikulas","f\Terrain_rock_BM_78.nif","","stoneNikulasScript"
"Act_BM_stone_sun_01","Activator","Sun Stone","f\Act_BM_stone_sun_01.NIF","","stoneSunScript"
"Act_BM_stone_tree_01","Activator","Tree Stone","f\Act_BM_stone_tree_01.NIF","","stoneTreesScript"
"Act_BM_stone_ulfgar","Activator","Stone of Ulfgar","f\Terrain_rock_BM_75.nif","","stoneUlfgarScript"
"Act_BM_stone_water_01","Activator","Water Stone","f\Act_BM_stone_water_01.NIF","","stoneWaterScript"
"Act_BM_stone_wind_01","Activator","Wind Stone","f\Act_BM_stone_wind_01.NIF","","stoneWindScript"
"Act_BM_stoneeffect_01","Activator","","i\active_dag_port10.NIF","","stoneeffectbeastScript"
"act_BM_sun_parts","Activator","","f\act_BM_sun_parts.NIF","","stoneeffect1Script"
"act_bm_tombdoor1","Activator","","f\Terrain_rock_BM_73.nif","","musicdoorScript"
"act_bm_tombdoor2","Activator","","f\Terrain_rock_BM_73.nif","","musicdoor2Script"
"act_bm_tombdoor3","Activator","","f\Terrain_rock_BM_66.nif","","glendoorScript"
"act_bm_tombdoor4","Activator","","f\Terrain_rock_BM_66.nif","","glendoor2Script"
"Act_BM_tree_01","Activator","First Tree Seedling","f\Act_BM_tree_03.NIF","",""
"Act_BM_tree_02","Activator","First Tree Sapling","f\Act_BM_tree_02.NIF","",""
"Act_BM_tree_03","Activator","First Tree","f\Act_BM_tree_01.NIF","",""
"act_BM_tree_parts","Activator","","f\act_BM_tree_parts.NIF","",""
"Act_BM_wall_01","Activator","","x\Ex_imp_wall_01.nif","","fortDisableScript"
"Act_BM_wall_02","Activator","","x\Ex_imp_rubble_02.NIF","","fortEnableScript"
"Act_BM_wall_03","Activator","","x\Ex_imp_rubble_08.NIF","","fortEnableScript"
"Act_BM_wall_arch_01","Activator","","x\Ex_imp_wall_arch_01.nif","","fortDisableScript"
"Act_BM_wall_arch_02","Activator","","x\Ex_imp_rubble_01.NIF","","fortEnableScript"
"Act_BM_wall_corner_01","Activator","","x\Ex_imp_wall_corner_02.nif","","fortDisableScript"
"Act_BM_wall_corner_02","Activator","","x\Ex_imp_rubble_04.NIF","","fortEnableScript"
"Act_BM_wall_corner_03","Activator","","x\Ex_imp_wall_corner_01.nif","","fortDisableScript"
"act_BM_water_parts","Activator","","f\act_BM_water_parts.NIF","",""
"Act_BM_well_01","Activator","","x\Ex_nord_well_01.nif","","fortDisableScript"
"Act_BM_well_02","Activator","","x\Ex_imp_rubble_05.NIF","","fortEnableScript"
"act_BM_wind_parts","Activator","","f\act_BM_wind_parts.NIF","",""
"Act_Crystal_01_Pulse","Activator","","i\In_T_crystal_01.NIF","","Sound_Crystal_Ringing"
"Act_Crystal_02_Pulse","Activator","","i\In_T_crystal_02.NIF","","Sound_Crystal_Ringing"
"act_dwe_cavein00","Activator","Collapsed Rocks","i\act_dwe_cavein00.NIF","","cavein_script"
"act_dwe_fan00","Activator","","i\act_dwe_fan00.NIF","","Sound_Dwemer_Fan"
"act_dwe_gyro00","Activator","","i\act_dwe_gyro00.NIF","","Sound_Power_Thrum"
"act_dwe_lever_a","Activator","Dwemer Lever","i\act_dwe_lever00.NIF","","tr_weathlev1"
"act_dwe_lever_b","Activator","Dwemer Lever","i\act_dwe_lever00.NIF","","tr_weathlev1"
"act_dwe_lever_c","Activator","Dwemer Lever","i\act_dwe_lever00.NIF","","tr_weathlev1"
"act_dwe_powerbox00","Activator","Dwemer Junction Box","i\act_dwe_powerbox00.NIF","","powerboxScript"
"act_dwe_weather00","Activator","","i\act_dwe_weather00.NIF","","tr_weathmachine"
"act_ex_colony_root_1","Activator","","f\Flora_root_WG_01.nif","","ColonyRoot1"
"act_ex_colony_root_1b","Activator","","f\Act_BM_root_01.NIF","","ColonyRoot2"
"act_ex_colony_root_2","Activator","","f\Flora_root_WG_02.nif","","ColonyRoot1"
"act_ex_colony_root_2b","Activator","","f\Act_BM_root_02.NIF","","ColonyRoot2"
"act_ex_colony_root_3","Activator","","f\Flora_root_WG_03.nif","","ColonyRoot1a"
"act_ex_colony_root_3b","Activator","","f\Act_BM_root_03.NIF","","ColonyRoot2"
"act_ex_colony_root_4","Activator","","f\Flora_root_WG_04.nif","","ColonyRoot1"
"act_ex_colony_root_4b","Activator","","f\Act_BM_root_04.NIF","","ColonyRoot2"
"Act_Ex_DE_ship_door","Activator","Barred Door","d\Ex_DE_ship_door.nif","",""
"Act_Ex_DE_ship_door_baro","Activator","Barred Door","d\Ex_DE_ship_door.nif","","ColonyBaroShip"
"Act_Ex_DE_ship_trapdoor","Activator","Barred Trapdoor","d\Ex_DE_ship_trapdoor.nif","",""
"act_flora_tree_MH_01","Activator","","f\flora_tree_MH_01.NIF","","treeliveScript"
"act_flora_tree_MH_02","Activator","","f\flora_tree_MH_02.NIF","","treeliveScript"
"act_flora_treedead_MH_01","Activator","","f\flora_treedead_MH_01.NIF","","treedeadScript"
"act_flora_treedead_MH_02","Activator","","f\flora_treedead_MH_02.NIF","","treedeadScript"
"Act_Furn_DAE_rubble_01b","Activator","","f\Furn_DAE_rubble_01b.NIF","","vampcureScript"
"act_h20crank_-550_400","Activator","Crank","f\Act_m_sewer_crank_01.nif","","changeWater_-550_400"
"act_hot_oil_512","Activator","","i\act_hot_oil_512.NIF","","SothaHotOil"
"act_plague_rock1","Activator","","i\in_mold_rock_07.nif","","PlagueRock1"
"act_plague_rock2","Activator","","i\in_mold_rock_07.nif","","PlagueRock2"
"act_plague_rock3","Activator","","i\in_mold_rock_04.nif","","PlagueRock3"
"act_plague_starter","Activator","","EditorMarker.NIF","","PlagueWarning"
"Act_Rockslide01","Activator","","i\Act_rockslide01.NIF","","rockslide"
"act_sotha_clockwork","Activator","","i\act_sotha_clockwork.NIF","","Sound_SothaGears"
"act_sotha_collide","Activator","","i\act_sotha_collide00.NIF","",""
"act_sotha_dicer","Activator","","i\act_sotha_dicer.NIF","","Collide_damage_kill"
"act_sotha_door10","Activator","","i\act_sotha_door.NIF","","LocalState"
"act_sotha_door3","Activator","","i\act_sotha_door.NIF","","LocalState"
"act_sotha_door9","Activator","","i\act_sotha_door.NIF","","LocalState"
"act_sotha_fabsteam","Activator","","i\act_sotha_fabsteam.NIF","",""
"act_sotha_gear00","Activator","","i\act_sotha_gear00.NIF","",""
"act_sotha_gear01","Activator","","i\act_sotha_gear01.NIF","",""
"act_sotha_gear02","Activator","","i\act_sotha_gear02.NIF","",""
"act_sotha_gear03","Activator","","i\act_sotha_gear03.NIF","",""
"act_sotha_green00","Activator","","i\act_sotha_green.NIF","",""
"act_sotha_green10","Activator","","i\act_sotha_green.NIF","",""
"act_sotha_lever10a","Activator","Rusted lever","i\act_sotha_lever.NIF","","SothaLever10"
"act_sotha_lever10b","Activator","Rusted lever","i\act_sotha_lever.NIF","","SothaLever10"
"act_sotha_lever11a","Activator","Rusted lever","i\act_sotha_lever.NIF","","SothaLever11"
"act_sotha_lever11b","Activator","Rusted lever","i\act_sotha_lever.NIF","","SothaLever11"
"act_sotha_lever1a","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaLever1"
"act_sotha_lever1b","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaLever1"
"act_sotha_lever2a","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaLever2"
"act_sotha_lever2b","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaLever2"
"act_sotha_lever3a","Activator","Rusted lever","i\act_sotha_lever.NIF","","SothaLever3"
"act_sotha_lever3b","Activator","Rusted lever","i\act_sotha_lever.NIF","","SothaLever3"
"act_sotha_lever4a","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaLever4"
"act_sotha_lever4b","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaLever4"
"act_sotha_lever5a","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaLever5"
"act_sotha_lever5b","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaLever5"
"act_sotha_lever6a","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaLever6"
"act_sotha_lever6b","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaLever6"
"act_sotha_lever8a","Activator","Rusted lever","i\act_sotha_lever.NIF","","SothaLever8"
"act_sotha_lever8b","Activator","Rusted lever","i\act_sotha_lever.NIF","","SothaLever8"
"act_sotha_lever9a","Activator","Rusted lever","i\act_sotha_lever.NIF","","SothaLever9"
"act_sotha_lever9b","Activator","Rusted lever","i\act_sotha_lever.NIF","","SothaLever9"
"act_sotha_lever_bridge","Activator","Rusted Lever","i\act_sotha_lever.NIF","","SothaOilLever"
"act_sotha_long_gear00","Activator","","i\act_sotha_long_gear00.NIF","",""
"act_sotha_long_gear01","Activator","","i\act_sotha_long_gear01.NIF","",""
"act_sotha_long_gear02","Activator","","i\act_sotha_long_gear02.NIF","",""
"act_sotha_long_gear03","Activator","","i\act_sotha_long_gear03.NIF","",""
"act_sotha_mach_door","Activator","Heavy metal doors","i\act_sotha_mach_door.NIF","",""
"act_sotha_mach_door1","Activator","","i\act_sotha_mach_door.NIF","","LocalState"
"act_sotha_mach_door2","Activator","","i\act_sotha_mach_door.NIF","","LocalState"
"act_sotha_monster1","Activator","Rusted Lever","i\act_sotha_lever.NIF","","sotha_machine1"
"act_sotha_monster2","Activator","Rusted Lever","i\act_sotha_lever.NIF","","sotha_machine2"
"act_sotha_monster3","Activator","Rusted Lever","i\act_sotha_lever.NIF","",""
"act_sotha_oilbridge","Activator","","i\act_sotha_oilbridge.NIF","","LocalState"
"act_sotha_powertubes","Activator","","i\act_sotha_powertubes.NIF","",""
"act_sotha_pre_door1","Activator","","i\act_sotha_pre_door.NIF","","LocalState"
"act_sotha_pre_door2","Activator","","i\act_sotha_pre_door.NIF","","LocalState"
"act_sotha_pre_door3","Activator","","i\act_sotha_pre_door.NIF","","LocalState"
"act_sotha_pre_door4","Activator","","i\act_sotha_pre_door.NIF","","LocalState"
"act_sotha_pre_door5","Activator","","i\act_sotha_pre_door.NIF","","LocalState"
"act_sotha_pre_door6","Activator","","i\act_sotha_pre_door.NIF","","LocalState"
"act_sotha_pre_door7","Activator","","i\act_sotha_pre_door.NIF","","LocalState"
"act_sotha_pre_door8","Activator","","i\act_sotha_pre_door.NIF","","LocalState"
"act_sotha_pre_door9","Activator","","i\act_sotha_pre_door.NIF","","LocalState"
"act_sotha_red00","Activator","","i\act_sotha_red.NIF","","sothalightScript"
"act_sotha_red10","Activator","","i\act_sotha_red.NIF","",""
"act_sotha_spikes","Activator","","i\act_sotha_spikes.NIF","","Collide_damage_100"
"act_sotha_steam00","Activator","","i\act_sotha_steam00.NIF","","sothasteam1Script"
"act_sotha_steam10","Activator","","i\act_sotha_steam00.NIF","","sothasteam2Script"
"act_sotha_tenderizer","Activator","","i\act_sotha_tenderizer.NIF","","Collide_damage_kill"
"Act_Terrain_lava_vent","Activator","Steaming Lava Vent","x\Terrain_lava_vent.NIF","","Sound_Steam"
"Act_Terrain_lava_ventlg","Activator","Steaming Lava Vent Large","x\Terrain_lava_ventLG.NIF","","Sound_Steam"
"act_torch_lever_UNI","Activator","Torch Lever","i\act_torch_lever.nif","","torch_lever"
"act_waterlevel_changer","Activator","","EditorMarker.NIF","","fluctuateWaterLevel"
"act_werewolf_statue","Activator","Werewolf Ice Statue","i\act_werewolf_statue.NIF","",""
"act_werewolf_statue_1","Activator","Werewolf Ice Statue","i\act_werewolf_statue.NIF","","werestatue1Script"
"act_werewolf_statue_2","Activator","Werewolf Ice Statue","i\act_werewolf_statue.NIF","","werestatue2Script"
"active_6th_bell_01","Activator","Bell","f\Furn_6th_Bell1.NIF","","Sixth_Bell_06"
"active_6th_bell_02","Activator","Bell","f\Furn_6th_Bell2.NIF","","Sixth_Bell_05"
"active_6th_bell_03","Activator","Bell","f\Furn_6th_Bell3.NIF","","Sixth_Bell_04"
"active_6th_bell_04","Activator","Bell","f\Furn_6th_Bell4.NIF","","Sixth_Bell_03"
"active_6th_bell_05","Activator","Bell","f\Furn_6th_Bell5.NIF","","Sixth_Bell_02"
"active_6th_bell_06","Activator","Bell","f\Furn_6th_Bell6.NIF","","Sixth_Bell_01"
"active_akula_fire","Activator","fire shield","i\active_akula_fire.NIF","",""
"active_akula_frost","Activator","frost shield","i\active_akula_frost.NIF","",""
"active_akula_lightning","Activator","lightning shield","i\active_akula_lightning.NIF","",""
"active_akula_shield","Activator","akula shield","i\active_akula_shield.NIF","",""
"active_assassin_unique","Activator","","f\Furn_Ashl_Chime_01.NIF","","barAssScript"
"active_BM_attacksound","Activator","","f\Furn_Ashl_Chime_01.NIF","","skaaldoorSound"
"active_BM_carius","Activator","","f\Furn_Ashl_Chime_01.NIF","",""
"active_BM_hunter1","Activator","","EditorMarker.nif","",""
"active_BM_hunter2","Activator","","EditorMarker.nif","",""
"active_BM_hunter3","Activator","","EditorMarker.nif","",""
"active_BM_huntercentral","Activator","","EditorMarker.nif","","hunterScript"
"active_BM_huntscream1","Activator","","EditorMarker.nif","",""
"active_BM_huntscream2","Activator","","EditorMarker.nif","",""
"active_BM_karstaag","Activator","","f\Furn_Ashl_Chime_01.NIF","","karstaagentryScript"
"active_BM_penumbra","Activator","","f\Furn_Ashl_Chime_01.NIF","","penumbraScript"
"active_BM_penumbra2","Activator","","f\Furn_Ashl_Chime_01.NIF","","penumbra2Script"
"active_BM_penumbra3","Activator","","f\Furn_Ashl_Chime_01.NIF","","icewallcrackScript"
"active_BM_rigmor","Activator","","f\Furn_Ashl_Chime_01.NIF","",""
"active_BM_skaaltrack1","Activator","","EditorMarker.nif","",""
"active_BM_skaaltrack2","Activator","","EditorMarker.nif","",""
"active_BM_skaaltrack3","Activator","","EditorMarker.nif","",""
"active_BM_skaaltrackcentral","Activator","","f\Furn_Ashl_Chime_01.NIF","","weretrackerScript"
"active_BM_smugglers","Activator","","f\Furn_Ashl_Chime_01.NIF","","smugcheckScript"
"active_BM_stalreset","Activator","","f\Furn_Ashl_Chime_01.NIF","","stalresetScript"
"active_BM_stonesound1","Activator","","f\Furn_Ashl_Chime_01.NIF","","stoneeffect1Script"
"active_BM_stonesound2","Activator","","f\Furn_Ashl_Chime_01.NIF","","stoneeffect2Script"
"active_BM_stonesound3","Activator","","f\Furn_Ashl_Chime_01.NIF","","stoneeffect3Script"
"active_BM_stonesound4","Activator","","f\Furn_Ashl_Chime_01.NIF","","stoneeffect4Script"
"active_BM_stonesound5","Activator","","f\Furn_Ashl_Chime_01.NIF","","stoneeffect5Script"
"active_BM_stonesound6","Activator","","f\Furn_Ashl_Chime_01.NIF","","stoneeffect6Script"
"active_BM_tracker1","Activator","","f\Furn_Ashl_Chime_01.NIF","","trackerScript"
"active_bubbles00","Activator","Bubbles","f\active_bubbles00.NIF","",""
"active_cauldron_balyn","Activator","Balyn's Cauldron","f\Furn_Com_Cauldron_01.nif","","poisonfoodScript"
"active_chimney_smoke02","Activator","","chimney_smoke02.NIF","",""
"active_chimney_smoke02_ovis1","Activator","","chimney_smoke02.NIF","",""
"active_chimney_smoke02_ovis2","Activator","","chimney_smoke02.NIF","",""
"Active_Com_Bar_Door","Activator","Bar Door","f\Active_Com_Bar_Door.NIF","","BarDoor"
"active_com_bed_01","Activator","Bed","f\Furn_Com_Bed_01.NIF","","Bed_Standard"
"active_com_bed_02","Activator","Bed","f\Furn_Com_Bed_02.NIF","","Bed_Standard"
"active_com_bed_03","Activator","Bed","f\Furn_Com_Bed_03.NIF","","Bed_Standard"
"active_com_bed_04","Activator","Bed","f\Furn_Com_Bed_04.NIF","","Bed_Standard"
"active_com_bed_05","Activator","Bed","f\Furn_Com_Bed_05.NIF","","Bed_Standard"
"active_com_bed_06","Activator","Bed","f\Furn_Com_Bed_06.NIF","","Bed_Standard"
"active_com_bed_07","Activator","Bed","f\Furn_Com_Bed_07.NIF","","Bed_Standard"
"active_com_bookshelf_02","Activator","Bookshelf","f\Furn_Com_Bookshelf_02.nif","",""
"active_com_bunk_01","Activator","Bed","f\Furn_Com_Bunk_01.NIF","","Bed_Standard"
"active_com_bunk_02","Activator","Bed","f\Furn_Com_Bunk_02.NIF","","Bed_Standard"
"active_dae_azura","Activator","Statue of Azura","x\Ex_DAE_Azura.NIF","","DaedraAzura"
"active_DAE_B_Bo_Head","Activator","Ruined Shrine to Boethiah","x\Ex_DAE_B_Bo_Head.NIF","","DaedraBoethiah"
"active_dae_boethiah","Activator","Statue of Boethiah","x\Ex_DAE_Azura.NIF","","DaedraBoethiah2"
"active_dae_boethiah_ruin","Activator","Ruined Statue of Boethiah","x\Ex_DAE_Azura.NIF","","DaedraBoethiah"
"active_dae_malacath","Activator","Statue of Malacath","x\Ex_Dae_Malacath_attack.NIF","","DaedraMalacath"
"active_dae_malacath_df","Activator","Statue of Malacath","x\Ex_Dae_Malacath_attack.NIF","","shrineDagonFel"
"active_dae_mehrunes","Activator","Statue of Mehrunes Dagon","x\Ex_DAE_MehrunesDagon.NIF","","DaedraMehrunes"
"active_dae_mehrunes_as","Activator","Statue of Mehrunes Dagon","x\Ex_DAE_MehrunesDagon.NIF","","shrineAldSotha"
"active_dae_mephala","Activator","Shrine to Mephala","x\Ex_DAE_Azura.NIF","","DaedraMephala"
"active_dae_molagbal","Activator","Statue of Molag Bal","x\Ex_Dae_MolagBal.NIF","","DaedraMolagBal"
"active_dae_molagbal2","Activator","Statue of Molag Bal","x\Ex_Dae_MolagBal.NIF","","VampireMolag"
"active_dae_sheogorath","Activator","Statue of Sheogorath","x\Ex_DAE_Sheogorath.NIF","","DaedraSheogorath"
"active_dae_sheogorath_ad","Activator","Statue of Sheogorath","x\Ex_DAE_Sheogorath.NIF","","shrineAldDaedroth"
"active_dbhideout","Activator","","f\Furn_Ashl_Chime_01.NIF","","dbHideoutScript"
"Active_De_Bar_Door","Activator","Bar Door","f\Active_De_Bar_Door.NIF","","BarDoor"
"active_de_bed_29","Activator","Hammock","f\Active_De_Bed_29.NIF","","Bed_Standard"
"active_de_bed_30","Activator","Hammock","f\Active_De_Bed_30.NIF","","Bed_Standard"
"active_de_bedroll","Activator","Bedroll","f\Active_De_Bedroll.NIF","","Bed_Standard"
"active_de_p_bed_03","Activator","Bed","f\Active_De_Bed_03.NIF","","Bed_Standard"
"active_de_p_bed_04","Activator","Bed","f\Active_De_Bed_04.NIF","","Bed_Standard"
"active_de_p_bed_05","Activator","Bed","f\Active_De_Bed_05.NIF","","Bed_Standard"
"active_de_p_bed_09","Activator","Bed","f\Active_De_Bed_09.NIF","","Bed_Standard"
"active_de_p_bed_10","Activator","Bed","f\Active_De_Bed_10.NIF","","Bed_Standard"
"active_de_p_bed_11","Activator","Bed","f\Active_De_Bed_11.NIF","","Bed_Standard"
"active_de_p_bed_12","Activator","Bed","f\Active_De_Bed_12.NIF","","Bed_Standard"
"active_de_p_bed_13","Activator","Bed","f\Active_De_Bed_13.NIF","","Bed_Standard"
"active_de_p_bed_14","Activator","Bed","f\Active_De_Bed_14.NIF","","Bed_Standard"
"active_de_p_bed_15","Activator","Bed","f\Active_De_Bed_15.NIF","","Bed_Standard"
"active_de_p_bed_16","Activator","Bed","f\Active_De_Bed_16.NIF","","Bed_Standard"
"active_de_p_bed_28","Activator","Hammock","f\Active_De_Bed_28.NIF","","Bed_Standard"
"active_de_pr_bed_07","Activator","Bed","f\Active_De_Bed_07.NIF","","Bed_Standard"
"active_de_pr_bed_08","Activator","Bed","f\Active_De_Bed_08.NIF","","Bed_Standard"
"active_de_pr_bed_21","Activator","Bed","f\Active_De_Bed_21.NIF","","Bed_Standard"
"active_de_pr_bed_22","Activator","Bed","f\Active_De_Bed_22.NIF","","Bed_Standard"
"active_de_pr_bed_23","Activator","Bed","f\Active_De_Bed_23.NIF","","Bed_Standard"
"active_de_pr_bed_24","Activator","Bed","f\Active_De_Bed_24.NIF","","Bed_Standard"
"active_de_pr_bed_25","Activator","Bed","f\Active_De_Bed_25.NIF","","Bed_Standard"
"active_de_pr_bed_26","Activator","Bed","f\Active_De_Bed_26.NIF","","Bed_Standard"
"active_de_pr_bed_27","Activator","Bed","f\Active_De_Bed_27.NIF","","Bed_Standard"
"active_de_r_bed_01","Activator","Bed","f\Active_De_Bed_01.NIF","","Bed_Standard"
"active_de_r_bed_02","Activator","Hammock","f\Active_De_Bed_02.NIF","","Bed_Standard"
"active_de_r_bed_06","Activator","Bed","f\Active_De_Bed_06.NIF","","Bed_Standard"
"active_de_r_bed_17","Activator","Bed","f\Active_De_Bed_17.NIF","","Bed_Standard"
"active_de_r_bed_18","Activator","Bed","f\Active_De_Bed_18.NIF","","Bed_Standard"
