"ID","ItemType","Name","Weight","Model","Inventory","Script","Organic","Respawn"
"barrel_02_eggs","Container","Wooden Barrel","50.00","o\contain_barrel10.nif","","","No","No"
"barrel_02_float","Container","Barrel","50.00","o\contain_barrel10.nif","","Float","No","No"
"barrel_02_floater","Container","Floating Barrel","200.00","o\contain_barrel10.nif","","Float","No","No"
"barrel_02_floater_ing","Container","Floating Barrel","200.00","o\contain_barrel10.nif","","Float","No","No"
"barrel_02_Ingred","Container","Barrel","50.00","o\contain_barrel10.nif","","","No","No"
"barrel_02_marshmerrow","Container","Barrel","50.00","o\contain_barrel10.nif","","","No","No"
"barrel_02_pants","Container","Wooden Barrel","50.00","o\contain_barrel10.nif","","","No","No"
"barrel_02_shoes","Container","Old Rotting Barrel","50.00","o\contain_barrel10.nif","","","No","No"
"barrel_bandit_01","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_IC25_Jon_Hawker","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"barrel_pants","Container","Wooden Barrel","50.00","o\contain_barrel10.nif","","","No","No"
"barrel_shoes","Container","Old Rotting Barrel","50.00","o\contain_barrel10.nif","","","No","No"
"barrel_smuggler_01","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"bm_chest_eddard_01","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"bm_chest_eddard_02","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"bm_chest_eddard_03","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"bm_chest_mirisa","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"BM_chest_piratetreasure","Container","Pirate's Chest","100.00","o\Contain_De_Chest_02.nif","","","No","No"
"bm_chest_skaal_potions","Container","Wooden Chest","150.00","o\contain_chest10.nif","","","No","No"
"BM_com_chest_clothes_01","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"BM_contain_corpse_01","Container","Corpse","0.00","o\BM_contain_corpse_01.NIF","","Sound_Flies","No","No"
"bm_corpseloot_01","Container","Corpse","120.00","o\contain_corpse20.NIF","","Sound_Flies","No","No"
"bm_corpseloot_02","Container","Corpse","120.00","o\contain_corpse10.NIF","","Sound_Flies","No","No"
"BM_cupboard_clothes","Container","Cupboard","100.00","o\Contain_Com_Cupboard_01.NIF","","","No","No"
"BM_drawers_clothing","Container","Chest of Drawers","300.00","o\Contain_Com_Drawers_01.NIF","","","No","No"
"bm_dungeonlloot_chest","Container","Chest","100.00","o\contain_chest10.nif","","","No","No"
"bm_dungeonloot_barrel","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"BM_greedyman","Container","The Greedy Man's Bag","50.00","o\Contain_Com_Sack_02.NIF","","windbagScript","No","No"
"bm_karstaag_barrel","Container","Barrel","100.00","o\Contain_barrel_01.nif","","","No","No"
"bm_karstaag_crate","Container","Crate","100.00","o\Contain_crate_01.nif","","","No","No"
"bm_nordictomb_01","Container","Chest","100.00","o\contain_chest10.nif","","","No","No"
"bm_nordictomb_02","Container","Chest","100.00","o\contain_chest10.nif","","","No","No"
"bm_scroll_chest","Container","Leather-Sealed Chest","100.00","o\contain_chest10.nif","","","No","No"
"bm_urn_01","Container","Urn","100.00","o\Contain_urn_01.NIF","","","No","No"
"bm_urn_ingred","Container","Urn","100.00","o\Contain_urn_02.NIF","","","No","No"
"BM_WindBag","Container","Bag of Winds","50.00","o\Contain_Com_Sack_01.NIF","","windbagScript","No","No"
"bottle_unique","Container","Glass Bottle","1.00","m\Misc_Com_Bottle_05.nif","","Float","No","No"
"caryarel_barrel","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"cavern_spore00","Container","Bloatspore","0.00","o\contain_cavern_spore00.NIF","","","Yes","No"
"chargen barrel fatigue","Container","Barrel","25.00","o\Contain_barrel_01.NIF","","CharGenFatigueBarrel","No","No"
"CharGen_barrel_01","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"CharGen_barrel_02","Container","Barrel","50.00","o\contain_barrel10.nif","","","No","No"
"CharGen_chest_02_empty","Container","Wooden Chest","25.00","o\contain_chest10.nif","","","No","No"
"CharGen_crate_01","Container","Crate","200.00","o\Contain_crate_01.NIF","","","No","No"
"CharGen_crate_01_empty","Container","Crate","200.00","o\Contain_crate_01.NIF","","","No","No"
"CharGen_crate_01_misc01","Container","Wooden Crate","200.00","o\Contain_crate_01.NIF","","","No","No"
"CharGen_crate_02","Container","Crate","200.00","o\Contain_crate_01.NIF","","","No","No"
"CharGenbarrel_01_drinks","Container","Barrel","50.00","o\Contain_barrel_01.NIF","","","No","No"
"chest_01_v_bildren","Container","Wooden Chest","150.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_daynali","Container","Wooden Chest","150.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_al_01","Container","Wooden Chest","100.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_al_02","Container","Wooden Chest","150.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_al_03","Container","Wooden Chest","100.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_al_04","Container","Wooden Chest","150.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_andil","Container","Wooden Chest","150.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_ap_01","Container","Wooden Chest","100.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_ap_02","Container","Wooden Chest","150.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_ap_03","Container","Wooden Chest","175.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_ap_04","Container","Wooden Chest","175.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_h_01","Container","Wooden Chest","100.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_h_02","Container","Wooden Chest","100.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_h_03","Container","Wooden Chest","150.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_h_04","Container","Wooden Chest","175.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_p_01","Container","Wooden Chest","100.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_p_02","Container","Wooden Chest","100.00","o\contain_chest10.nif","","","No","No"
"chest_01_v_potion_p_03","Container","Wooden Chest","100.00","o\contain_chest10.nif","","","No","No"
"chest_02_v_potion_p_02","Container","Wooden Chest","100.00","o\Contain_De_Chest_02.nif","","","No","No"
"chest_Andrano00","Container","Small Chest","15.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_Andrano01","Container","Small Chest","15.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_ashurninibi_01","Container","Small Stone Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_ClawFang_UNIQUE","Container","Chest","200.00","o\Contain_De_Chest_02.NIF","","totemchestScript","No","No"
"Chest_gatekeeper","Container","Gatekeeper's Chest","0.00","o\Contain_chest_small_01.nif","","","No","No"
"chest_Goris","Container","Goris's small chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_01","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_Draramu","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_dumbuk","Container","Strongbox","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_empty","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_gold_05","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_gold_10","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_gold_25","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_gold_50","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_gold_ran","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_goldr500","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_hasphat ","Container","Small Stone Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_ingred10","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_ingredie","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_ironarw","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_maren","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_miliehas","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_pos","Container","Small Stone Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_silverwa","Container","Small Chest","25.00","o\Contain_chest_small_01.nif","","","No","No"
"chest_small_01_soulgem","Container","Small Stone Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_01_tgbb","Container","Small Chest","50.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_02","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_anararen","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_Anis_Uni","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_au_ag","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_diamonds","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_gems","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_gold_05","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_gold_10","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_gold_25","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_gold_50","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_HHRD","Container","Ascadian Land Deeds","25.00","o\Contain_chest_small_02.NIF","","landDeedChest","No","No"
"chest_small_02_ingfine1","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_ingfine2","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_ingfine3","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_ingfine4","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_ingredie","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_lockprac","Container","Small Chest","10.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_misc","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_misc01","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_nalcarya","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_rndgold","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_seleth","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_silverwa","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_socucius","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_tgbt","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_wooduten","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_02_yngling","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_divayth06","Container","Small Ornate Lockbox","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_dren","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_IL_talos","Container","Small Chest","25.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_small_Llethri","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_mororurg","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_small_mororurg2","Container","Small Chest","25.00","o\Contain_chest_small_02.NIF","","","No","No"
"chest_tomb_Andrano02","Container","Chest","200.00","o\Contain_De_Chest_01.NIF","","","No","No"
"chest_tomb_Andrano03","Container","Chest","200.00","o\Contain_De_Chest_02.NIF","","","No","No"
"chest_tomb_gladroon","Container","Chest","200.00","o\Contain_De_Chest_02.NIF","","","No","No"
"chest_tomb_gladroon2","Container","Chest","200.00","o\Contain_De_Chest_02.NIF","","","No","No"
"chest_tomb_gladroon3","Container","Small Chest","15.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_tomb_large00","Container","Chest","200.00","o\Contain_De_Chest_02.NIF","","","No","No"
"chest_tomb_large01","Container","Chest","200.00","o\Contain_De_Chest_01.NIF","","","No","No"
"chest_tomb_large02","Container","Chest","200.00","o\Contain_De_Chest_01.NIF","","","No","No"
"chest_tomb_Sandas","Container","A nobleman's chest","200.00","o\Contain_De_Chest_01.NIF","","BILL_GTs_Cursed_Chest","No","No"
"chest_tomb_small00","Container","Small Chest","15.00","o\Contain_chest_small_01.NIF","","","No","No"
"chest_tomb_small01","Container","Small Chest","15.00","o\Contain_chest_small_02.NIF","","","No","No"
"com_basket_01","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_basket_01_bones","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"Com_Basket_01_chargen","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_basket_01_chpfood","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_basket_01_chpfood5","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_basket_01_empty","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_basket_01_falanaamo","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_basket_01_food","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_basket_01_ingredien","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_basket_01_pierlette","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_basket_01_pillows","Container","Basket of Pillows","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"Com_Basket_01_POS","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_basket_arille's","Container","Basket","350.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"Com_Basket_chargen2","Container","Basket","50.00","o\Contain_Com_Basket_01.NIF","","","No","No"
"com_chest_01","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_alfhedil","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_arrows","Container","Wooden Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_baradras","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_elmussa","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_elmussa2","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_empty","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_gavin","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_hircine","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_hircine2","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","hircinechestScript","No","No"
"com_chest_01_imp_arms","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"Com_Chest_01_K01","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_misc01","Container","Low Quality Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_misc02","Container","Low Quality Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_misc03","Container","Low Quality Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_misc04","Container","Ancient Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_misc05","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_misc06","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_misc07","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_pos","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_01_shenk","Container","Chest","150.00","o\Contain_Com_Chest_01.NIF","","","No","No"
"com_chest_02","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_apparatus","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_bc1","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_bc2","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_books","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_darius_01","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_darius_02","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_darius_03","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_darius_04","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_de_arms","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_durgok","Container","Durgok's Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_empty","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_fg_supply","Container","Fighters' Guild Equipment Chest","300.00","o\Contain_Com_Chest_02.NIF","","","Yes","Yes"
"com_chest_02_galbedir","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_gold_25","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_gshipwreck","Container","Wooden Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_helvi","Container","Odral Helvi's Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_hhbt","Container","Murudius' Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_imp_arms","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_j'zhirr","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_jeanne_u","Container","Chest","400.00","o\Contain_Com_Chest_02.NIF","","jeannechestScript","No","No"
"com_chest_02_jzhirr","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_k01","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_k02","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_l_arm_01","Container","Wooden Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_l_weap_01","Container","Wooden Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"Com_Chest_02_L_Weap_02","Container","Wooden Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_lev_gold","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_lucretinau","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_maryn","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","ColonyChestMaryn","No","No"
"com_chest_02_mg_supply","Container","Mages' Guild Supply Chest","300.00","o\Contain_Com_Chest_02.NIF","","","Yes","Yes"
"com_chest_02_misc01","Container","Large Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_misc05","Container","Large Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_misc06","Container","Ancient Wooden Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_misc07","Container","Ancient Wooden Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_misc09","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"Com_Chest_02_misc10","Container","Large Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_pillows","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_pontanian","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_pos","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_puzzlecana","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_ra'zhid","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_Retene","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_salynsaret","Container","Salyn Sarethi's Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_sud1","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_talosfd","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_thendas1","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_thendas2","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_tomb_comn","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_tomb_key ","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_tomb_rare","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_alusaron","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor01","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor02","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor03","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor04","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor05","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor06","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor07","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor08","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor09","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor10","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_armor11","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_clanler","Container","Chest","400.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_fonas","Container","Chest","500.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_indalen","Container","Wooden Chest","500.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_saetring","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_shadbak","Container","Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_sosia","Container","Chest","400.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_trader01","Container","Chest","400.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_trader02","Container","Chest","500.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_trader03","Container","Chest","500.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_weapon01","Container","Wooden Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_weapon02","Container","Wooden Chest","200.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_weapon03","Container","Wooden Chest","205.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_weapon04","Container","Wooden Chest","500.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_weapon05","Container","Wooden Chest","700.00","o\Contain_Com_Chest_02.NIF","","","No","No"
"com_chest_02_v_weapon06","Container","Wooden Chest","300.00","o\Contain_Com_Chest_02.NIF","","","No","No"
